연도,순위,이름,ERA,경기수,승리,패배,세이브,홀드,승률,이닝,피안타,피홈런,볼넷,사구,삼진,실점,자책점,WHIP,완투,완봉,퀄리티스타트,블론세이브,총타자상대,투구수,피안타율,2루타,3루타,희생타,희생플라이,고의사구,폭투,보크
2020,2,윤대경,1.59,55,5,0,0,7,1.000,51,48,3,25,3,42,16,9,1.43,0,0,0,0,225,869,0.251,7,0,4,2,3,1,0
2020,3,강재민,2.57,50,1,2,1,14,0.333,49,41,3,18,0,57,16,14,1.20,0,0,0,2,203,871,0.227,5,0,3,1,1,2,1
2020,4,김진영,3.33,58,3,3,0,8,0.500,54,48,6,22,3,56,26,20,1.30,0,0,0,1,231,949,0.236,4,0,1,2,0,5,0
2020,5,장웅정,3.52,2,0,1,0,0,0.000,7 2/3,7,0,6,0,5,3,3,1.70,0,0,0,0,35,156,0.241,1,0,0,0,0,1,0
2020,6,송윤준,4.30,26,0,0,0,1,-,23,23,1,13,1,16,11,11,1.57,0,0,0,0,106,434,0.258,7,0,2,1,0,3,0
2020,7,김민우,4.34,26,5,10,0,0,0.333,132 2/3,121,15,72,7,124,72,64,1.45,0,0,5,0,593,2460,0.240,16,1,5,4,3,10,2
2020,8,문동욱,4.50,19,0,1,1,1,0.000,18,12,2,17,2,9,10,9,1.61,0,0,0,0,83,294,0.194,2,0,2,0,1,1,0
2020,9,박상원,4.66,62,1,0,1,10,1.000,58,62,8,20,4,52,35,30,1.41,0,0,0,4,256,981,0.271,14,1,1,2,4,2,1
2020,10,정우람,4.80,50,3,5,16,0,0.375,54 1/3,58,4,12,5,53,29,29,1.29,0,0,0,3,230,907,0.283,11,1,4,4,1,2,0
2020,11,서폴드,4.91,28,10,13,0,0,0.435,165,203,19,42,13,97,107,90,1.48,1,1,13,0,734,2742,0.304,30,3,5,6,0,10,0
2020,12,장시환,5.02,26,4,14,0,0,0.222,132 2/3,139,15,74,8,115,81,74,1.61,0,0,11,0,603,2434,0.271,27,1,2,6,0,10,0
2020,13,김범수,5.24,24,3,6,0,0,0.333,55,55,9,42,3,55,34,32,1.76,0,0,2,0,259,1091,0.261,11,2,1,2,3,1,0
2020,14,김진욱,5.64,22,3,4,1,0,0.429,44 2/3,50,9,25,5,29,29,28,1.68,0,0,1,1,206,837,0.287,12,1,2,0,0,3,0
2020,15,안영명,5.91,39,1,1,0,1,0.500,45 2/3,51,9,18,2,34,32,30,1.51,0,0,0,1,201,753,0.293,8,1,4,3,1,0,0
2020,16,김종수,5.94,54,1,1,1,7,0.500,50,54,6,26,3,43,34,33,1.60,0,0,0,1,228,941,0.276,11,3,3,0,1,4,0
2020,17,채드벨,5.96,16,2,8,0,0,0.200,77,85,10,35,5,61,54,51,1.56,0,0,4,0,346,1367,0.284,11,0,4,3,1,3,0
2020,18,이현호,6.46,16,0,2,0,0,0.000,15 1/3,18,4,10,1,15,12,11,1.83,0,0,0,1,75,267,0.286,0,0,1,0,0,3,1
2020,19,장민재,6.75,24,2,7,0,0,0.222,57 1/3,86,5,13,2,32,44,43,1.73,0,0,2,0,267,975,0.350,19,2,0,6,0,1,0
2020,20,김도현,6.82,17,2,7,0,0,0.222,64 2/3,75,9,44,4,41,50,49,1.84,0,0,2,0,312,1295,0.293,13,0,3,5,0,4,0
2020,21,윤규진,7.36,2,0,0,0,0,-,3 2/3,7,1,1,0,4,5,3,2.18,0,0,0,0,19,73,0.438,0,0,0,2,0,0,0
2020,22,박성웅,8.39,11,0,5,0,0,0.000,24 2/3,30,5,16,0,19,24,23,1.86,0,0,0,0,117,465,0.313,6,0,2,3,0,2,0
